image_filename,timestamp,pm2.5,pm10,location
152338.JPG,2019-07-24 13:32:18,18.1,23.5,location1
152338.JPG,2019-07-24 13:32:19,18.2,24.0,location1
152338.JPG,2019-07-24 13:32:20,18.3,24.3,location1
152338.JPG,2019-07-24 13:32:21,18.3,24.2,location1
152338.JPG,2019-07-24 13:32:22,18.4,24.5,location1
152338.JPG,2019-07-24 13:32:23,18.4,24.9,location1
152338.JPG,2019-07-24 13:32:24,18.3,24.9,location1
152338.JPG,2019-07-24 13:32:25,18.3,24.9,location1
152338.JPG,2019-07-24 13:32:26,18.3,24.0,location1
152338.JPG,2019-07-24 13:32:27,18.2,23.8,location1
152338.JPG,2019-07-24 13:33:04,18.1,22.7,location5
152338.JPG,2019-07-24 13:33:05,17.9,22.7,location5
152338.JPG,2019-07-24 13:33:06,17.8,22.6,location5
152338.JPG,2019-07-24 13:33:07,17.8,22.5,location5
152338.JPG,2019-07-24 13:33:08,17.8,22.6,location5
152338.JPG,2019-07-24 13:33:09,17.8,22.1,location5
152338.JPG,2019-07-24 13:33:10,17.7,21.9,location5
152338.JPG,2019-07-24 13:33:11,17.8,22.0,location5
152338.JPG,2019-07-24 13:33:12,17.7,22.4,location5
152338.JPG,2019-07-24 13:33:13,17.7,22.1,location5
152338.JPG,2019-07-24 13:33:14,17.7,22.0,location5
152338.JPG,2019-07-24 13:33:15,17.7,21.8,location5
152338.JPG,2019-07-24 13:33:16,17.8,21.9,location5
152338.JPG,2019-07-24 13:33:17,17.8,22.0,location5
152338.JPG,2019-07-24 13:33:18,17.7,22.1,location5
152338.JPG,2019-07-24 13:33:19,17.7,21.9,location5
152338.JPG,2019-07-24 13:33:20,17.9,22.2,location5
152338.JPG,2019-07-24 13:33:21,17.7,22.0,location5
152338.JPG,2019-07-24 13:33:22,17.5,21.7,location5
152338.JPG,2019-07-24 13:33:23,17.4,21.4,location5
152338.JPG,2019-07-24 13:33:24,17.3,21.3,location5
152338.JPG,2019-07-24 13:33:25,17.3,21.2,location5
152338.JPG,2019-07-24 13:33:26,17.2,21.3,location5
152338.JPG,2019-07-24 13:33:27,17.3,21.5,location5
152338.JPG,2019-07-24 13:33:28,17.2,21.4,location5
152338.JPG,2019-07-24 13:33:29,17.2,20.5,location5
152338.JPG,2019-07-24 13:33:30,17.2,20.6,location5
152338.JPG,2019-07-24 13:33:31,17.1,20.5,location5
152338.JPG,2019-07-24 13:33:32,17.1,20.6,location5
152338.JPG,2019-07-24 13:33:33,17.2,20.7,location5
152338.JPG,2019-07-24 13:33:34,17.3,20.8,location5
152338.JPG,2019-07-24 13:33:35,17.5,21.1,location5
152338.JPG,2019-07-24 13:33:36,17.5,21.3,location5
152338.JPG,2019-07-24 13:33:37,17.4,21.9,location5
152338.JPG,2019-07-24 13:33:38,17.2,21.8,location5
152338.JPG,2019-07-24 13:33:39,17.1,21.7,location5
152338.JPG,2019-07-24 13:33:40,17.0,21.5,location5
152338.JPG,2019-07-24 13:33:41,17.1,22.0,location5
152338.JPG,2019-07-24 13:33:42,17.1,21.5,location5
152338.JPG,2019-07-24 13:33:43,17.0,21.5,location5
152338.JPG,2019-07-24 13:33:44,17.0,21.5,location5
152338.JPG,2019-07-24 13:33:45,17.0,21.7,location5
152338.JPG,2019-07-24 13:33:46,17.0,21.7,location5
152338.JPG,2019-07-24 13:33:47,17.0,21.6,location5
152338.JPG,2019-07-24 13:33:48,17.0,21.5,location5
152338.JPG,2019-07-24 13:33:49,16.8,21.3,location5
152338.JPG,2019-07-24 13:33:50,16.8,21.1,location5
152338.JPG,2019-07-24 13:33:51,16.8,21.1,location5
152338.JPG,2019-07-24 13:33:52,16.9,21.3,location5
152338.JPG,2019-07-24 13:33:53,17.0,21.4,location5
152338.JPG,2019-07-24 13:33:54,16.8,21.3,location5
152338.JPG,2019-07-24 13:33:55,16.9,21.2,location5
152338.JPG,2019-07-24 13:33:56,16.9,21.6,location5
152338.JPG,2019-07-24 13:33:57,17.0,22.3,location5
152338.JPG,2019-07-24 13:33:58,17.1,22.7,location5
152338.JPG,2019-07-24 13:33:59,17.0,22.7,location5
152338.JPG,2019-07-24 13:34:00,17.0,22.8,location5
152338.JPG,2019-07-24 13:34:01,16.9,22.7,location5
152338.JPG,2019-07-24 13:34:02,16.8,22.7,location5
152338.JPG,2019-07-24 13:34:03,16.8,22.6,location5
152338.JPG,2019-07-24 13:34:04,16.8,22.7,location5
152338.JPG,2019-07-24 13:34:05,16.7,22.2,location5
152338.JPG,2019-07-24 13:34:06,16.8,22.1,location5
152338.JPG,2019-07-24 13:34:07,16.7,21.1,location5
152338.JPG,2019-07-24 13:34:08,16.8,21.2,location5
152338.JPG,2019-07-24 13:34:09,17.0,21.2,location5
152338.JPG,2019-07-24 13:34:10,17.1,21.6,location5
152338.JPG,2019-07-24 13:34:11,17.0,21.0,location5
152338.JPG,2019-07-24 13:34:12,16.9,20.8,location5
152338.JPG,2019-07-24 13:34:13,17.0,20.9,location5
152338.JPG,2019-07-24 13:34:14,16.9,20.8,location5
152338.JPG,2019-07-24 13:34:15,16.9,21.4,location5
152338.JPG,2019-07-24 13:34:16,16.9,21.3,location5
152338.JPG,2019-07-24 13:34:17,16.9,21.2,location5
152338.JPG,2019-07-24 13:34:18,16.8,21.1,location5
152338.JPG,2019-07-24 13:34:19,16.8,21.4,location5
152338.JPG,2019-07-24 13:34:20,16.7,21.3,location5
152338.JPG,2019-07-24 13:34:21,16.7,21.3,location5
152338.JPG,2019-07-24 13:34:22,16.7,21.1,location5
152338.JPG,2019-07-24 13:34:23,16.7,21.3,location5
152338.JPG,2019-07-24 13:34:24,16.8,21.4,location5
152338.JPG,2019-07-24 13:34:25,16.8,21.4,location5
152338.JPG,2019-07-24 13:34:26,16.7,20.6,location5
152338.JPG,2019-07-24 13:34:27,16.7,20.2,location5
152338.JPG,2019-07-24 13:34:28,16.5,19.8,location5
152338.JPG,2019-07-24 13:34:29,16.6,19.8,location5
152338.JPG,2019-07-24 13:34:30,16.6,19.9,location5
152338.JPG,2019-07-24 13:34:31,16.6,19.8,location5
152338.JPG,2019-07-24 13:34:32,16.7,19.6,location5
152338.JPG,2019-07-24 13:34:33,16.7,19.7,location5
152338.JPG,2019-07-24 13:34:34,16.6,19.5,location5
152338.JPG,2019-07-24 13:34:35,16.5,19.5,location5
152338.JPG,2019-07-24 13:34:36,16.5,19.6,location5
152338.JPG,2019-07-24 13:34:37,16.6,19.7,location5
152338.JPG,2019-07-24 13:34:38,16.6,19.7,location5
152338.JPG,2019-07-24 13:34:39,16.5,20.2,location5
152338.JPG,2019-07-24 13:34:40,16.4,20.2,location5
152338.JPG,2019-07-24 13:34:41,16.6,20.3,location5
152338.JPG,2019-07-24 13:34:42,16.6,20.5,location5
152338.JPG,2019-07-24 13:34:43,16.5,20.4,location5
152338.JPG,2019-07-24 13:34:44,16.7,20.6,location5
152338.JPG,2019-07-24 13:34:45,16.6,20.5,location5
152338.JPG,2019-07-24 13:34:46,16.6,20.6,location5
152338.JPG,2019-07-24 13:34:47,16.6,20.6,location5
152338.JPG,2019-07-24 13:34:48,16.6,20.8,location5
152338.JPG,2019-07-24 13:34:49,16.7,20.6,location5
152338.JPG,2019-07-24 13:34:50,16.7,20.5,location5
152338.JPG,2019-07-24 13:34:51,16.7,20.7,location5
152338.JPG,2019-07-24 13:34:52,16.7,20.8,location5
152338.JPG,2019-07-24 13:34:53,16.6,20.4,location5
152338.JPG,2019-07-24 13:34:54,16.5,20.2,location5
152338.JPG,2019-07-24 13:34:55,16.4,20.2,location5
152338.JPG,2019-07-24 13:34:56,16.4,20.3,location5
152338.JPG,2019-07-24 13:34:57,16.2,20.0,location5
152338.JPG,2019-07-24 13:34:58,16.2,19.9,location5
152338.JPG,2019-07-24 13:34:59,16.1,20.0,location5
152338.JPG,2019-07-24 13:35:00,16.1,19.9,location5
152338.JPG,2019-07-24 13:35:01,16.2,20.1,location5
152338.JPG,2019-07-24 13:35:02,16.1,20.3,location5
152338.JPG,2019-07-24 13:35:03,16.1,20.3,location5
152338.JPG,2019-07-24 13:35:04,16.2,20.2,location5
152338.JPG,2019-07-24 13:35:05,16.1,20.1,location5
152338.JPG,2019-07-24 13:35:06,16.0,19.9,location5
152338.JPG,2019-07-24 13:35:07,15.8,19.7,location5
152338.JPG,2019-07-24 13:35:08,15.7,19.8,location5
152338.JPG,2019-07-24 13:35:09,15.8,19.8,location5
152338.JPG,2019-07-24 13:35:10,15.9,19.7,location5
152338.JPG,2019-07-24 13:35:11,15.8,19.5,location5
152338.JPG,2019-07-24 13:35:12,15.8,19.5,location5
152338.JPG,2019-07-24 13:35:13,15.7,19.4,location5
152338.JPG,2019-07-24 13:35:14,15.7,19.3,location5
152338.JPG,2019-07-24 13:35:15,15.7,18.5,location5
152338.JPG,2019-07-24 13:35:16,15.8,18.5,location5
152338.JPG,2019-07-24 13:35:17,15.8,18.5,location5
152338.JPG,2019-07-24 13:35:18,15.8,18.4,location5
152338.JPG,2019-07-24 13:35:19,15.8,18.3,location5
152338.JPG,2019-07-24 13:35:20,15.7,18.4,location5
152338.JPG,2019-07-24 13:35:21,15.8,18.4,location5
152338.JPG,2019-07-24 13:35:22,15.8,18.4,location5
152338.JPG,2019-07-24 13:35:22,18.6,21.8,location8
152338.JPG,2019-07-24 13:35:23,15.9,18.5,location5
152338.JPG,2019-07-24 13:35:23,18.7,22.0,location8
152338.JPG,2019-07-24 13:35:24,15.9,18.7,location5
152338.JPG,2019-07-24 13:35:24,18.6,21.6,location8
152338.JPG,2019-07-24 13:35:25,15.9,18.7,location5
152338.JPG,2019-07-24 13:35:25,18.7,21.7,location8
152338.JPG,2019-07-24 13:35:26,16.0,18.7,location5
152338.JPG,2019-07-24 13:35:26,18.6,21.4,location8
152338.JPG,2019-07-24 13:35:26,18.6,21.6,location8
152338.JPG,2019-07-24 13:35:27,16.1,18.6,location5
152338.JPG,2019-07-24 13:35:28,18.6,21.7,location8
152338.JPG,2019-07-24 13:35:28,16.2,18.8,location5
152338.JPG,2019-07-24 13:35:29,16.3,18.7,location5
152338.JPG,2019-07-24 13:35:29,18.6,21.9,location8
152338.JPG,2019-07-24 13:35:29,18.7,21.9,location8
152338.JPG,2019-07-24 13:35:30,16.4,18.7,location5
152338.JPG,2019-07-24 13:35:31,16.5,18.6,location5
152338.JPG,2019-07-24 13:35:31,18.5,22.0,location8
152338.JPG,2019-07-24 13:35:32,18.6,22.0,location8
