day,image_filename,patch_idx,augmentations,npy_path,patch_x,patch_y,patch_center_x,patch_center_y
10_19_data,2019-10-19 104440.JPG,0,contrast,10_19_data\patch\2019-10-19 104440_p0_contrast.npy,0,0,128,128
10_19_data,2019-10-19 104440.JPG,0,brightness_hflip,10_19_data\patch\2019-10-19 104440_p0_brightness_hflip.npy,0,0,128,128
10_19_data,2019-10-19 104440.JPG,1,rotate_contrast_hflip,10_19_data\patch\2019-10-19 104440_p1_rotate_contrast_hflip.npy,128,0,256,128
10_19_data,2019-10-19 104440.JPG,1,rotate_contrast,10_19_data\patch\2019-10-19 104440_p1_rotate_contrast.npy,128,0,256,128
10_19_data,2019-10-19 104440.JPG,2,brightness_contrast,10_19_data\patch\2019-10-19 104440_p2_brightness_contrast.npy,256,0,384,128
10_19_data,2019-10-19 104440.JPG,2,rotate_brightness_contrast,10_19_data\patch\2019-10-19 104440_p2_rotate_brightness_contrast.npy,256,0,384,128
10_19_data,2019-10-19 104440.JPG,3,brightness_contrast_hflip,10_19_data\patch\2019-10-19 104440_p3_brightness_contrast_hflip.npy,384,0,512,128
10_19_data,2019-10-19 104440.JPG,3,brightness,10_19_data\patch\2019-10-19 104440_p3_brightness.npy,384,0,512,128
10_19_data,2019-10-19 104440.JPG,4,rotate,10_19_data\patch\2019-10-19 104440_p4_rotate.npy,512,0,640,128
10_19_data,2019-10-19 104440.JPG,4,brightness,10_19_data\patch\2019-10-19 104440_p4_brightness.npy,512,0,640,128
10_19_data,2019-10-19 104440.JPG,5,rotate_brightness_contrast_hflip,10_19_data\patch\2019-10-19 104440_p5_rotate_brightness_contrast_hflip.npy,640,0,768,128
10_19_data,2019-10-19 104440.JPG,5,rotate,10_19_data\patch\2019-10-19 104440_p5_rotate.npy,640,0,768,128
10_19_data,2019-10-19 104440.JPG,6,brightness,10_19_data\patch\2019-10-19 104440_p6_brightness.npy,768,0,896,128
10_19_data,2019-10-19 104440.JPG,6,brightness_hflip,10_19_data\patch\2019-10-19 104440_p6_brightness_hflip.npy,768,0,896,128
10_19_data,2019-10-19 104440.JPG,7,hflip,10_19_data\patch\2019-10-19 104440_p7_hflip.npy,896,0,1024,128
10_19_data,2019-10-19 104440.JPG,7,brightness_contrast,10_19_data\patch\2019-10-19 104440_p7_brightness_contrast.npy,896,0,1024,128
10_19_data,2019-10-19 104440.JPG,8,rotate_hflip,10_19_data\patch\2019-10-19 104440_p8_rotate_hflip.npy,1024,0,1152,128
10_19_data,2019-10-19 104440.JPG,8,hflip,10_19_data\patch\2019-10-19 104440_p8_hflip.npy,1024,0,1152,128
10_19_data,2019-10-19 104440.JPG,9,rotate_brightness,10_19_data\patch\2019-10-19 104440_p9_rotate_brightness.npy,1152,0,1280,128
10_19_data,2019-10-19 104440.JPG,9,rotate_hflip,10_19_data\patch\2019-10-19 104440_p9_rotate_hflip.npy,1152,0,1280,128
10_19_data,2019-10-19 104440.JPG,10,rotate_brightness,10_19_data\patch\2019-10-19 104440_p10_rotate_brightness.npy,1280,0,1408,128
10_19_data,2019-10-19 104440.JPG,10,rotate_brightness_hflip,10_19_data\patch\2019-10-19 104440_p10_rotate_brightness_hflip.npy,1280,0,1408,128
